day,type,direction,overlap,prior_vah,prior_val,prior_poc
2026-03-31,balanced,0,1.0,23523.625,23202.375,23333.875
2026-04-01,imbalanced,1,0.0,23975.375,23420.875,23907.125
2026-04-02,imbalanced,-1,0.0,24247.375,24037.375,24157.625
2026-04-03,balanced,0,1.0,24243.375,23889.375,24144.375
2026-04-06,imbalanced,1,0.0,24201.875,24126.125,24182.625
2026-04-07,balanced,0,0.521,24370.375,24263.875,24305.125
2026-04-08,imbalanced,1,0.0,24398.625,24125.875,24216.375
2026-04-09,balanced,0,0.911,25161.375,24990.125,25086.125
2026-04-10,imbalanced,1,0.0,25190.875,24959.375,25032.375
2026-04-13,imbalanced,-1,0.0,25324.125,25229.375,25272.875
2026-04-14,imbalanced,1,0.0,25485.375,25140.375,25313.875
2026-04-15,balanced,0,0.727,26003.375,25741.625,25914.375
2026-04-16,imbalanced,1,0.0,26208.375,25964.375,25998.625
2026-04-17,imbalanced,1,0.269,26501.875,26382.125,26448.375
2026-04-20,imbalanced,-1,0.0,26877.125,26725.375,26825.875
2026-04-21,imbalanced,1,0.0,26760.375,26654.375,26723.125
2026-04-22,imbalanced,1,0.431,26826.375,26661.875,26741.875
2026-04-23,balanced,0,1.0,27134.875,26868.375,26990.125
2026-04-24,imbalanced,1,0.147,27057.875,26863.125,26925.375
2026-04-27,balanced,0,0.624,27454.125,27222.125,27415.875
2026-04-28,imbalanced,-1,0.343,27433.875,27351.125,27398.625
2026-04-29,imbalanced,1,0.173,27226.125,27057.625,27174.625
2026-04-30,imbalanced,1,0.17,27295.875,27196.875,27222.875
2026-05-01,balanced,0,1.0,27620.375,27344.125,27594.625
2026-05-04,imbalanced,-1,0.491,27899.125,27783.125,27832.375
2026-05-05,imbalanced,1,0.0,27873.375,27696.375,27769.875
2026-05-06,imbalanced,1,0.0,28181.625,28043.625,28132.375
2026-05-07,imbalanced,1,0.0,28609.875,28336.625,28574.875
2026-05-08,imbalanced,1,0.0,28774.375,28603.375,28673.875
2026-05-11,balanced,0,1.0,29354.875,29043.375,29286.375
2026-05-12,imbalanced,-1,0.0,29431.875,29306.375,29403.875
2026-05-13,imbalanced,1,0.0,29256.375,28905.625,29174.875
2026-05-14,imbalanced,1,0.387,29559.875,29242.375,29473.125
2026-05-15,imbalanced,-1,0.0,29740.875,29579.125,29716.875
2026-05-18,imbalanced,-1,0.437,29369.625,29171.875,29317.875
2026-05-19,imbalanced,-1,0.48,29207.375,28917.625,29014.625
2026-05-20,imbalanced,1,0.414,29072.375,28805.375,28925.375
2026-05-21,balanced,0,0.73,29385.375,29104.875,29310.625
2026-05-22,imbalanced,1,0.0,29375.875,29148.375,29236.125
2026-05-25,imbalanced,1,0.0,29674.375,29534.125,29568.125
2026-05-26,imbalanced,-1,0.0,29983.625,29913.875,29965.375
2026-05-27,imbalanced,1,0.224,30092.875,29915.625,29976.625
2026-05-28,balanced,0,0.758,30077.625,29898.625,30042.625
2026-05-29,balanced,0,0.99,30344.125,30007.875,30307.375
2026-06-01,imbalanced,1,0.0,30439.875,30329.375,30406.375
2026-06-02,balanced,0,1.0,30597.625,30382.375,30557.375
2026-06-03,imbalanced,1,0.366,30713.375,30532.625,30674.875
2026-06-04,imbalanced,-1,0.0,30725.375,30579.375,30685.875
2026-06-05,imbalanced,-1,0.0,30598.125,30306.125,30484.625
2026-06-08,imbalanced,-1,0.0,30230.125,29338.875,29431.875
2026-06-09,balanced,0,1.0,29700.125,29369.375,29448.875
2026-06-10,imbalanced,-1,0.194,29846.875,28846.875,29694.375
2026-06-11,balanced,0,1.0,29009.625,28580.375,28751.125
2026-06-12,imbalanced,1,0.0,29101.375,28277.625,28770.875
2026-06-15,imbalanced,1,0.0,29719.125,29474.875,29656.375
2026-06-16,balanced,0,1.0,30910.375,30697.875,30873.875
2026-06-17,balanced,0,0.541,30960.125,30475.125,30829.875
2026-06-18,balanced,0,1.0,30523.875,30276.125,30445.875
2026-06-19,balanced,0,0.694,30735.875,30458.375,30707.625
2026-06-22,imbalanced,1,0.151,30698.125,30568.875,30668.125
2026-06-23,imbalanced,-1,0.0,30760.875,30514.625,30640.625
2026-06-24,balanced,0,1.0,29925.125,29636.125,29728.375
2026-06-25,imbalanced,1,0.0,29891.125,29504.625,29763.125
2026-06-26,imbalanced,-1,0.0,29883.375,29465.875,29655.125
2026-06-29,imbalanced,1,0.402,29660.125,29344.875,29548.625
2026-06-30,imbalanced,1,0.0,30069.125,29605.875,30017.875
2026-07-01,balanced,0,1.0,30599.875,30205.875,30532.375
2026-07-02,imbalanced,-1,0.0,30312.625,30105.875,30257.125
2026-07-03,balanced,0,1.0,30048.625,29330.875,29451.875
2026-07-06,balanced,0,1.0,29955.375,29746.125,29910.375
2026-07-07,imbalanced,-1,0.0,30051.125,29895.625,29955.875
2026-07-08,imbalanced,-1,0.0,29704.625,29333.875,29538.375
2026-07-09,imbalanced,1,0.0,29472.875,29191.375,29398.125
2026-07-10,balanced,0,1.0,29985.875,29720.875,29946.875
2026-07-13,imbalanced,-1,0.0,30076.375,29868.375,30049.375
2026-07-14,balanced,0,1.0,29709.625,29459.625,29500.125
2026-07-15,imbalanced,1,0.0,29873.625,29660.375,29780.875
2026-07-16,unknown,0,,,,
